# id	left	top	right	bottom	texture_id
[SPRITES]
############ SMALL ################
 #IDLE
12121	217	89	228	106	0
12111	177	89	188	106	0

#WALK RIGHT
12222	256	89	270	106	0

#WALK LEFT
12212	135	89	150	106	0

#RUN RIGHT
12321	215	169	230	184	0
12322	255	169	270	184	0
12323	255	129	350	144	0

#RUN LEFT
12311	175	169	190	184	0
12312	135	169	150	184	0
12313	135	129	150	144	0

#BRACE RIGHT & LEFT
12511	215	129	230	144	0
12521	175	129	190	144	0

#JUMP WALK RIGHT & LEFT 
12413	335	89	350	106	0
12417	55	89	70	106	0

#JUMP RUN RIGHT & LEFT 
12423	215	209	230	224	0
12427	175	209	190	224	0

#####  BIG ###############
#IDLE
11121	216	243	229	270	0
11111	176	243	189	270	0

#WALKING RIGHT
11222	255	243	270	270	0
11223	295	243	310	270	0

#WALKING LEFT
11212	135	243	150	270	0
11213	95	243	110	270	0

#RUNNING RIGHT
11321	213	323	232	350	0
11322	253	323	272	350	0
11323	293	323	312	350	0

#RUNNING LEFT
11311	174	323	193	350	0
11312	134	323	153	350	0
11313	94	323	113	350	0

#JUMP WALK RIGHT
11417	334	243	351	270	0
11413	54	243	71	270	0

#JUMP RUN RIGHT & LEFT
11427	333	364	352	391	0
11423	54	364	73	391	0

#SIT RIGHT & LEFT 
11521	376	248	389	266	0
11511	16	248	29	266	0

#BRACE RIGHT & LEFT 
11621	215	283	230	312	0
11611	175	283	190	312	0

#DIE
13001	15	209	30	224	0

#####  FIRE ###############
#IDLE
21121	216	683	229	710	0
21111	186	683	199	710	0

#WALKING RIGHT
21222	255	683	270	710	0
21223	295	683	310	710	0

#WALKING LEFT
21212	135	683	150	710	0
21213	95	683	110	710	0

#RUNNING RIGHT
21321	213	763	232	790	0
21322	253	763	272	790	0
21323	293	763	312	790	0

#RUNNING LEFT
21311	174	763	193	790	0
21312	134	763	153	790	0
21313	94	763	113	790	0

#JUMP WALK RIGHT
21417	334	683	351	710	0
21413	54	683	71	710	0

#JUMP RUN RIGHT & LEFT
21427	333	804	352	831	0
21423	54	804	73	831	0

#SIT RIGHT & LEFT 
21521	376	688	389	705	0
21511	16	688	29	705	0

#BRACE RIGHT & LEFT 
21621	215	723	230	752	0
21611	175	723	190	752	0

#####  RACOON ###############
#IDLE
31121	212	443	233	472	0
31111	172	443	193	472	0

#WALKING RIGHT
31222	262	443	283	472	0
31223	291	443	314	472	0

#WALKING LEFT
31212	122	443	143	472	0
31213	92	443	115	472	0

#RUNNING RIGHT
31321	209	523	234	552	0
